"entitles","enextracts","detitles","deextracts"
"PEARL (programming language)","PEARL, or Process and experiment automation realtime language, is a computer programming language designed for multitasking and real-time programming. Being a high-level language, it is fairly cross-platform. Since 1977, the language has been going under several standardization steps by the Deutsches Institut für Normung. The current version is PEARL-90, which was standardized in 1998 as DIN 66253-2.
PEARL is not to be confused with the similarly named Perl, an entirely unrelated programming language created by Larry Wall in 1987.

","PEARL","PEARL [pɜːɹl] ist eine Echtzeit- und Multitasking-Programmiersprache nach DIN 66253. Sie findet besonders unter RTOS-UH Anwendung. PEARL steht für Process and Experiment Automation Realtime Language und hat nichts mit der Skriptsprache Perl zu tun."
"Aachen Cathedral Treasury","The Aachen Cathedral Treasury (German: Aachener Domschatzkammer) is a museum of the Roman Catholic Diocese of Aachen under the control of the Cathedral chapter, which houses one of the most important collections of medieval church artworks in Europe. In 1978, the Aachen Cathedral Treasury, along with Aachen Cathedral, was the first monument on German soil to be entered in the List of UNESCO World Heritage Sites. The Treasury contains works from Late Antique, Carolingian, Ottonian, Staufen, and Gothic times. The exhibits are displayed in premises connected to the Cathedral cloisters.","Aachener Domschatzkammer","Die Aachener Domschatzkammer präsentiert den Kirchenschatz des Aachener Doms, eine der bedeutendsten Sammlungen kirchlicher Kulturschätze der Welt. Das Museum in der Trägerschaft des Aachener Domkapitels befindet sich in der historischen Innenstadt von Aachen in am Kreuzgang des Domes gelegenen Räumlichkeiten. Gezeigt werden Werke aus spätantiker, byzantinischer, karolingischer, ottonischer, staufischer und gotischer Zeit. Die Sammlung der Schatzkammer des Doms wurde 1978 zusammen mit dem Dom als erstes Denkmal auf deutschem Boden in die Liste des UNESCO-Weltkulturerbes aufgenommen. Seit 2009 ist die Domschatzkammer eine Station der Route Charlemagne."
"Bauhaus","Staatliches Bauhaus , commonly known simply as Bauhaus, was an art school in Germany that combined crafts and the fine arts, and was famous for the approach to design that it publicised and taught. It operated from 1919 to 1933. At that time the German term  Bauhaus —literally ""house of construction""—was understood as meaning ""School of Building"".
The Bauhaus was first founded by Walter Gropius in Weimar. In spite of its name, and the fact that its founder was an architect, the Bauhaus during the first years of its existence did not have an architecture department. Nonetheless, it was founded with the idea of creating a ""total"" work of art in which all arts, including architecture, would eventually be brought together. The Bauhaus style later became one of the most influential currents in modern design, Modernist architecture and art, design and architectural education. The Bauhaus had a profound influence upon subsequent developments in art, architecture, graphic design, interior design, industrial design, and typography.
The school existed in three German cities: Weimar from 1919 to 1925, Dessau from 1925 to 1932 and Berlin from 1932 to 1933, under three different architect-directors: Walter Gropius from 1919 to 1928, Hannes Meyer from 1928 to 1930 and Ludwig Mies van der Rohe from 1930 until 1933, when the school was closed by its own leadership under pressure from the Nazi-led government which had claimed that it was a centre of communist intellectualism. Though the school was closed, the staff continued to spread its idealistic precepts as they left Germany and emigrated all over the world.
The changes of venue and leadership resulted in a constant shifting of focus, technique, instructors, and politics. For instance: the pottery shop was discontinued when the school moved from Weimar to Dessau, even though it had been an important revenue source; when Mies van der Rohe took over the school in 1930, he transformed it into a private school, and would not allow any supporters of Hannes Meyer to attend it.","Bauhaus","Das Staatliche Bauhaus wurde 1919 von Walter Gropius in Weimar als Kunstschule gegründet. Nach Art und Konzeption war es damals etwas völlig Neues, da das Bauhaus eine Zusammenführung von Kunst und Handwerk darstellte. Das historische Bauhaus stellt heute die einflussreichste Bildungsstätte im Bereich der Architektur, der Kunst und des Designs dar. Das Bauhaus bestand von 1919 bis 1933 und gilt heute weltweit als Heimstätte der Avantgarde der Klassischen Moderne auf allen Gebieten der freien und angewandten Kunst. Die Resonanz des Bauhauses hält bis heute an und prägt wesentlich das Bild modernistischer Strömungen."
"Boo (programming language)","Boo is an object-oriented, statically typed, general-purpose programming language that seeks to make use of the Common Language Infrastructure's support for Unicode, internationalization, and web applications, while using a Python-inspired syntax and a special focus on language and compiler extensibility. Some features of note include type inference, generators, multimethods, optional duck typing, macros, true closures, currying, and first-class functions. Boo has been actively developed since 2003.
Boo is free software released under an MIT/BSD–style license. It is compatible with both the Microsoft .NET and Mono frameworks.","Boo (Programmiersprache)","Boo ist eine seit 2003 von Rodrigo Barreto de Oliveira entwickelte Programmiersprache für die Microsoft CLR, die aber auch mit Mono verwendet werden kann. Die Syntax lehnt sich stark an die von Python an.

"
"Upper Harz Water Regale","The Upper Harz Water Regale (German: Oberharzer Wasserregal) is a system of dams, reservoirs, ditches and other structures, much of which was built from the 16th to 19th centuries to divert and store the water that drove the water wheels of the mines in the Upper Harz region of Germany. The term regale, here, refers to the granting of royal privileges or rights (droit de régale) in this case to permit the use of water for mining operations in the Harz mountains of Germany.
The Upper Harz Water Regale is one of the largest and most important historic mining water management systems in the world. The facilities developed for the generation of water power have been placed under protection since 1978 as cultural monuments. The majority are still used, albeit nowadays their purpose is primarily to support rural conservation (the preservation of a historic cultural landscape), nature conservation, tourism and swimming. From a water management perspective, several of the reservoirs still play a role in flood protection and the supply of drinking water. On 31 July 2010 the Regale was declared a UNESCO World Heritage Site affiliated with the Mines of Rammelsberg and the Historic Town of Goslar.
The water system covers an area of roughly 200 square kilometres (77 sq mi) within the Lower Saxon part of the Harz, the majority of structures being found in the vicinity of Clausthal-Zellerfeld, Hahnenklee, Sankt Andreasberg, Buntenbock, Wildemann, Lautenthal, Schulenberg, Altenau and Torfhaus.

","Oberharzer Wasserregal","Das Oberharzer Wasserregal ist ein hauptsächlich im 16. bis 19. Jahrhundert geschaffenes System zur Umleitung und Speicherung von Wasser, das Wasserräder in den Bergwerken des Oberharzer Bergbaus antrieb. Es gilt als das weltweit bedeutendste vorindustrielle Wasserwirtschaftssystem des Bergbaus.
Die zur Erzeugung von Wasserkraft entstandenen Anlagen stehen seit 1978 als Kulturdenkmal unter Denkmalschutz. Am 31. Juli 2010 wurden die Anlagen wegen ihrer Einzigartigkeit und ihres großen Umfanges als Erweiterung der bereits existierenden Welterbestätte „Bergwerk Rammelsberg und Altstadt von Goslar“ vom UNESCO-Welterbekomitee zum UNESCO-Weltkulturerbe erklärt.
Die Anlagen werden zu einem großen Teil weiterhin betrieben, wobei der Zweck überwiegend in der Pflege einer historischen Kulturlandschaft, im Naturschutz, Tourismus und im Badebetrieb besteht. Wasserwirtschaftlich gesehen haben einige Stauteiche noch einen Zweck im Hochwasserschutz und in der Trinkwassergewinnung. Sie erstrecken sich über ein Gebiet von rund 200 Quadratkilometern im niedersächsischen Teil des Harzes, wobei die meisten Bauwerke im Raum Clausthal-Zellerfeld, Hahnenklee, Sankt Andreasberg, Buntenbock, Wildemann, Lautenthal, Schulenberg, Altenau und Torfhaus zu finden sind."
"Aachen Cathedral","Aachen Cathedral, frequently referred to as the ""Imperial Cathedral"" (in German: Kaiserdom), is a Roman Catholic church in Aachen, Germany. The church is the oldest cathedral in northern Europe and was known as the ""Royal Church of St. Mary at Aachen"" during the Middle Ages. For 595 years, from 936 to 1531, the Aachen chapel was the church of coronation for 30 German kings and 12 queens. The church is the episcopal seat of the Diocese of Aachen.","Aachener Dom","Der Aachener Dom, auch Aachener Münster oder Aachener Kaiserdom, ist die Bischofskirche des Bistums Aachen. Patronin der Kathedrale ist die Gottesmutter Maria. Der heutige Dom besteht aus mehreren Teilbauten, deren jeweilige Entstehungszeiten die Epochen des Frühmittelalters bis hin zur Neuzeit umfassen: Das karolingische Oktogon, ehemals die Pfalzkapelle der Aachener Königspfalz, ist das bedeutsamste architektonische Beispiel für die karolingische Renaissance. Karl der Große ließ den Zentralbau und das Westwerk gegen Ende des achten Jahrhunderts als Kern seiner Pfalzanlage errichten; die Grundsteinlegung erfolgte 796. Die karolingische Pfalzkirche ist umgeben von mehreren Anbauten aus späterer Zeit, darunter die gotische Chorhalle im Osten und der vielgestaltige Kapellenkranz."
"Synchronized Multimedia Integration Language","Synchronized Multimedia Integration Language (SMIL (/ˈsmaɪl/)) is a World Wide Web Consortium recommended Extensible Markup Language (XML) markup language to describe multimedia presentations. It defines markup for timing, layout, animations, visual transitions, and media embedding, among other things. SMIL allows presenting media items such as text, images, video, audio, links to other SMIL presentations, and files from multiple web servers. SMIL markup is written in XML, and has similarities to HTML.","Synchronized Multimedia Integration Language","Vorlage:Infobox Dateiformat/Wartung/MagischeZahl fehltVorlage:Infobox Dateiformat/Wartung/Standard fehltVorlage:Infobox Dateiformat/Wartung/Website fehlt
Die Synchronized Multimedia Integration Language (SMIL; Aussprache wie engl. smile) ist ein auf XML basierender, von dem World Wide Web Consortium (W3C) entwickelter Standard für eine Auszeichnungssprache für zeitsynchronisierte, multimediale Inhalte. SMIL ermöglicht die Einbindung und Steuerung von Multimedia-Elementen wie Audio, Video, Text und Grafik in Webseiten; SMIL-Dateien können mit Java-Applets und -Servlets oder CGI-Skripten verknüpft werden und so beispielsweise auf eine Datenbank zugreifen. Als Dateierweiterung wird .smi oder .smil verwendet."
"Scala (programming language)","Scala (/ˈskɑːlə/ SKAH-lə) is an object-functional programming language for general software applications. Scala has full support for functional programming and a very strong static type system. This allows programs written in Scala to be very concise and thus smaller in size than other general-purpose programming languages. Many of Scala's design decisions were inspired by criticism of the shortcomings of Java.
Scala source code is intended to be compiled to Java bytecode, so that the resulting executable code runs on a Java virtual machine. Java libraries may be used directly in Scala code and vice versa (language interoperability). Like Java, Scala is object-oriented, and uses a curly-brace syntax reminiscent of the C programming language. Unlike Java, Scala has many features of functional programming languages like Scheme, Standard ML and Haskell, including currying, type inference, immutability, lazy evaluation, and pattern matching. It also has an advanced type system supporting algebraic data types, covariance and contravariance, higher-order types, and anonymous types. Other features of Scala not present in Java include operator overloading, optional parameters, named parameters, raw strings, and no checked exceptions.
The name Scala is a portmanteau of ""scalable"" and ""language"", signifying that it is designed to grow with the demands of its users.","Scala (Programmiersprache)","Scala ist eine funktionale und objektorientierte Programmiersprache.
Der Name leitet sich von ‘scalable language’ ab und bringt zum Ausdruck, dass der sehr kompakt gehaltene Sprachkern die Möglichkeit bietet, häufig verwendete Sprachelemente wie z. B. Operatoren oder zusätzliche Kontrollstrukturen in Benutzerklassen zu implementieren und dadurch den Sprachumfang zu erweitern und eigene domänenspezifische Sprachen (englisch domain-specific language, DSL) zu erstellen."
"Gofer (programming language)","Gofer (""Good For Equational Reasoning"") is an implementation of the programming language Haskell intended for educational purposes and supporting a language based on version 1.2 of the Haskell report. It was replaced by Hugs.
Its syntax is closer to the earlier commercial language Miranda than the subsequently standardized Haskell. It lacks some of features of Haskell (such as the deriving clause in data type definitions) but includes a number of features which were not adopted by Haskell (such as generalizing the List comprehension syntax to support any Monad).","Gofer","Gofer ist eine funktionale Programmiersprache, die an Haskell angelehnt ist.
Gofer hat gegenüber Haskell einige experimentelle Erweiterungen, vor allem im Bereich der Typklassen. Andere wichtige Features Haskells fehlen allerdings, so werden beispielsweise keine Module unterstützt.
Die Sprache wird heutzutage kaum noch benutzt. Die letzte Version des Gofer-Interpreters wurde 1994 veröffentlicht. Es existiert aber ein Haskell-98-kompatibler Nachfolger namens Hugs 98, welcher neben dem Haskell-98-Standard unter anderem die typischen Gofer-Erweiterungen unterstützt und auch heute noch gepflegt wird."
"Lübeck","The Hanseatic City of Lübeck (pronounced [ˈlyːbɛk], Low German [ˈlyːbɛːk]) is the second-largest city in Schleswig-Holstein, in northern Germany, and one of the major ports of Germany. Situated on the river Trave, it was for several centuries the leading city of the Hanseatic League (""Queen of the Hanse""). Because of its extensive Brick Gothic architecture, it is listed by UNESCO as a World Heritage Site. In 2005 it had a population of 213,983.
The old part of Lübeck is on an island enclosed by the Trave. The Elbe–Lübeck Canal connects the Trave with the Elbe River. Another important river near the town centre is the Wakenitz. The Autobahn 1 connects Lübeck with Hamburg and Denmark (Vogelfluglinie). The borough of Travemünde is a sea resort and ferry port on the coast of the Baltic Sea. Its central station links Lübeck to a number of railway lines, notably the line to Hamburg.","Lübeck","Die Hansestadt Lübeck (niederdeutsch: Lübęk, Lübeek; Adjektiv: lübsch, lübisch, seit spätestens dem 19. Jahrhundert auch lübeckisch) ist eine kreisfreie Großstadt im Norden Deutschlands und im Südosten Schleswig-Holsteins an der Ostsee (Lübecker Bucht). Mit ihren 212.958 Einwohnern ist Lübeck nach der Landeshauptstadt Kiel die Stadt mit den meisten Einwohnern und somit eines der vier Oberzentren des Landes. Flächenmäßig ist sie die größte Stadt in Schleswig-Holstein. Die mittelalterliche Lübecker Altstadt ist seit 1987 Teil des UNESCO-Welterbes.
Die nächstgelegenen großen Städte sind Hamburg etwa 65 Kilometer südwestlich, Kiel etwa 78 Kilometer nordwestlich und Schwerin etwa 68 Kilometer südöstlich. Lübeck gehört seit April 2012 der Europäischen Metropolregion Hamburg an. Die Hansestadt wird auch „Stadt der Sieben Türme“ und „Tor zum Norden“ genannt.
↑ Statistikamt Nord – Bevölkerung der Gemeinden in Schleswig-Holstein 4. Quartal 2013 (XLSX-Datei) (Fortschreibung auf Basis des Zensus 2011) (Hilfe dazu)
↑ Der Name ist slawischen Ursprungs und wurde im Verlauf der Jahrhunderte umgedeutet und umgeformt (siehe dazu im Einzelnen Wolfgang Laur: Historisches Ortsnamenlexikon von Schleswig-Holstein, 2. Aufl., Neumünster 1992, S. 437). Auf mittelalterliche Namensformen geht die regionale Aussprache mit langem geschlossenen e zurück, also [ˈlyːbeːk], vgl. Dehnungs-c; neueren Ursprungs ist die bühnendeutsche Aussprache [ˈlyːbɛk]."
