"code","cname","ename","方國珊","林卓廷","廖添誠","陳云根","梁國雄","張超雄","楊岳橋","麥嘉晉","鄭家富","葛珮帆","侯志強","李梓敬","鄧家彪","范國威","陳玉娥","黃琛喻","李偲嫣","陳志全","梁頌恆","梁金成","容海恩","陳克勤"
"N0101","香海正覺蓮社佛教馬錦燦紀念英文中學","HHCKLA Buddhist Ma Kam Chan Memorial English Secondary School",158,321,23,132,200,302,310,33,79,104,24,83,104,122,0,13,28,229,247,4,100,815
"N0201","粉嶺公立學校","Fanling Public School",58,101,4,46,118,127,131,16,32,79,307,48,55,36,2,4,27,120,94,3,72,190
"N0202","明愛粉嶺陳震夏中學","Caritas Fanling Chan Chun Ha Secondary School",93,185,4,101,132,222,178,39,49,121,6,75,68,90,1,6,14,147,167,2,61,283
"N0301","祥華社區會堂","Cheung Wah Community Hall",198,971,16,249,378,436,435,37,122,171,112,120,297,180,7,19,41,442,493,4,171,1141
"N0401","香海正覺蓮社佛教正覺蓮社學校","HHCKLA Buddhist Ching Kok Lin Association School",289,497,11,326,418,541,580,64,160,157,59,147,244,317,7,17,37,535,668,3,174,1728
"N0501","鳳溪廖潤琛紀念學校","Fung Kai Liu Yun Sum Memorial School",185,234,24,309,481,427,519,31,105,167,51,117,266,669,9,24,29,493,815,4,138,1223
"N0601","香海正覺蓮社佛教普光學校","HHCKLA Buddhist Po Kwong School",110,246,7,138,187,267,287,32,76,64,9,79,97,131,3,13,22,285,263,0,117,755
"N0602","路德會賽馬會雍盛綜合服務中心","Jockey Club Yung Shing Lutheran Integrated Service Centre",110,205,8,204,259,351,351,23,71,83,33,77,171,253,10,6,20,324,500,3,75,1405
"N0701","聖公會嘉福榮真小學","SKH Ka Fuk Wing Chun Primary School",248,363,9,230,371,531,441,43,145,225,37,147,807,194,2,23,43,424,620,5,212,693
"N0801","粉嶺官立中學","Fanling Government Secondary School",163,242,7,96,174,315,305,36,88,126,17,105,101,159,2,7,13,268,199,0,140,515
"N0802","田家炳中學","Tin Ka Ping Secondary School",80,187,2,89,92,162,160,30,63,126,71,93,63,71,2,8,13,143,137,2,109,238
"N0901","風采中學(教育評議會主辦) ","Elegantia College (Sponsored by Education Convergence) ",169,309,9,215,314,299,328,30,76,66,185,78,215,105,3,15,38,296,423,4,126,1687
"N1001","保榮路體育館","Po Wing Road Sports Centre",104,307,8,173,201,267,275,33,74,249,70,108,715,103,1,13,48,295,404,7,307,533
